isic_id,source_collection,label,p6_peak_y,p6_peak_x,p6_in_lesion,p10_peak_y,p10_peak_x,p10_in_lesion,moved_into_lesion,moved_out_of_lesion
ISIC_0034677,212,0,116,210,1,104,133,1,0,0
ISIC_0031760,212,0,247,260,1,161,244,1,0,0
ISIC_0026538,212,0,210,80,0,125,202,0,0,0
ISIC_0034250,212,0,166,152,1,248,197,0,0,1
ISIC_0027893,212,0,187,266,0,162,196,0,0,0
ISIC_0025315,212,0,209,205,0,210,212,0,0,0
ISIC_0031136,212,0,202,135,1,189,107,1,0,0
ISIC_0027766,212,0,202,170,1,269,135,0,0,1
ISIC_0033793,212,0,167,223,0,187,170,0,0,0
ISIC_0031260,212,0,263,272,1,129,224,1,0,0
ISIC_0026208,212,0,242,191,1,214,179,1,0,0
ISIC_0029629,212,0,209,239,0,113,169,0,0,0
ISIC_0033556,212,0,121,183,0,201,123,0,0,0
ISIC_0024851,212,0,172,150,1,290,68,0,0,1
ISIC_0027481,212,0,147,224,1,166,186,1,0,0
ISIC_0028138,212,0,157,218,1,161,180,1,0,0
ISIC_0031456,212,0,89,239,1,102,241,1,0,0
ISIC_0025135,212,0,61,158,0,76,200,0,0,0
ISIC_0033088,212,0,227,235,1,237,263,1,0,0
ISIC_0026205,212,0,145,192,1,216,272,1,0,0
ISIC_0027310,212,0,165,225,1,200,245,1,0,0
ISIC_0029752,212,0,182,185,1,199,180,1,0,0
ISIC_0025883,212,0,166,155,1,263,33,0,0,1
ISIC_0031422,212,0,221,84,1,156,308,0,0,1
ISIC_0032304,212,0,171,160,0,121,96,0,0,0
ISIC_0028986,212,0,214,206,1,145,196,1,0,0
ISIC_0031327,212,0,256,272,1,220,198,1,0,0
ISIC_0035508,212,0,167,133,1,128,154,1,0,0
ISIC_0027637,212,0,213,157,1,247,164,1,0,0
ISIC_0030790,212,0,265,214,1,238,202,1,0,0
ISIC_0032089,212,0,228,77,1,239,159,1,0,0
ISIC_0033214,212,0,198,194,1,183,189,1,0,0
ISIC_0026155,212,0,180,196,0,268,179,1,1,0
ISIC_0026824,212,0,232,191,1,222,179,1,0,0
ISIC_0025142,212,0,203,208,1,200,137,1,0,0
