isic_id,source_collection,label,vignette_present,vignette_score,ruler_present,ruler_score,hair_present,hair_score,color_cast_present,color_cast_home_score,color_cast_margin
ISIC_0034677,212,0,0,0.0,0,0.0,1,0.0737,0,0.0997,0.0028
ISIC_0031760,212,0,0,0.0,0,0.0,0,0.0341,1,0.206,0.1232
ISIC_0026538,212,0,0,0.0596,0,0.0,1,0.1066,1,0.1573,0.0567
ISIC_0034250,212,0,0,0.0,0,0.0,0,0.034,1,0.3408,0.1804
ISIC_0027893,212,0,0,0.0,0,0.0,1,0.1609,1,0.2501,0.0541
ISIC_0025315,212,0,0,0.0,0,0.0,1,0.0351,0,0.1114,0.017
ISIC_0031136,212,0,0,0.0,0,0.0,0,0.023,1,0.2634,0.1246
ISIC_0027766,212,0,0,0.0,0,0.0,1,0.0434,0,0.1647,-0.0412
ISIC_0033793,212,0,0,0.3341,0,0.0,1,0.0364,1,0.2547,0.0944
ISIC_0031260,212,0,0,0.0,1,0.1974,1,0.1435,0,0.2759,-0.0271
ISIC_0026208,212,0,0,0.0,0,0.0,0,0.018,1,0.1666,0.0788
ISIC_0029629,212,0,0,0.0,0,0.0,0,0.0151,0,0.2943,0.0369
ISIC_0033556,212,0,0,0.0,0,0.0,1,0.2275,1,0.3574,0.0881
ISIC_0024851,212,0,0,0.0,0,0.0,1,0.1495,0,0.3275,-0.0355
ISIC_0027481,212,0,0,0.0,0,0.0,0,0.0107,1,0.1809,0.095
ISIC_0028138,212,0,0,0.0,1,0.1974,1,0.1541,0,0.246,0.0393
ISIC_0031456,212,0,0,0.0,1,0.537,1,0.0864,0,0.3172,0.0414
ISIC_0025135,212,0,0,0.0,0,0.0,0,0.0423,1,0.2559,0.1252
ISIC_0033088,212,0,0,0.0,0,0.0,1,0.1464,1,0.1973,0.0931
ISIC_0026205,212,0,0,0.0,1,0.1974,1,0.0956,0,0.2758,-0.0284
ISIC_0025070,212,0,0,0.0,0,0.0,1,0.1248,0,0.2595,-0.0163
ISIC_0027310,212,0,0,0.0,0,0.0,1,0.0795,0,0.3149,0.0229
ISIC_0029752,212,0,0,0.0,0,0.0,1,0.0271,0,0.2365,-0.0447
ISIC_0025883,212,0,0,0.0,0,0.0,1,0.1146,1,0.2699,0.161
ISIC_0031422,212,0,0,0.0,0,0.0,1,0.1456,0,0.224,-0.053
ISIC_0032304,212,0,0,0.196,0,0.0,1,0.0768,1,0.1985,0.0895
ISIC_0028986,212,0,0,0.0,0,0.0,0,0.0132,1,0.2514,0.1112
ISIC_0031327,212,0,0,0.0,1,0.3799,1,0.0862,0,0.3471,0.0136
ISIC_0035508,212,0,0,0.0,1,0.7616,1,0.1123,0,0.2842,0.0018
ISIC_0027637,212,0,0,0.0,1,0.3799,0,0.0635,0,0.1219,0.0263
ISIC_0032210,212,0,0,0.0,0,0.0,1,0.109,1,0.197,0.0937
ISIC_0030790,212,0,0,0.0,0,0.0,1,0.044,0,0.2964,-0.0343
ISIC_0032089,212,0,0,0.0,0,0.0,1,0.0283,0,0.1748,0.0093
ISIC_0033214,212,0,0,0.0,0,0.0,0,0.0195,0,0.1103,-0.1615
ISIC_0026155,212,0,0,0.0,0,0.0,1,0.0851,1,0.2112,0.1101
ISIC_0026824,212,0,0,0.0,0,0.0,1,0.0308,0,0.1627,0.0268
ISIC_0025142,212,0,0,0.0,0,0.0,1,0.0969,0,0.2454,-0.0354
ISIC_0030411,212,0,0,0.0,0,0.0,1,0.1768,1,0.1982,0.0655
ISIC_0032753,212,0,0,0.0,1,0.537,1,0.1874,1,0.3321,0.1709
ISIC_0035488,212,0,0,0.0,0,0.0,0,0.0086,0,0.2295,-0.0623
ISIC_0029733,212,0,0,0.0,0,0.0,0,0.0115,0,0.0787,-0.1326
ISIC_0026785,212,0,0,0.0,0,0.0,0,0.0096,1,0.2528,0.1129
ISIC_0029229,212,0,0,0.0,0,0.0,1,0.0689,0,0.2098,0.0344
ISIC_0029355,212,0,0,0.2045,0,0.0,1,0.0213,1,0.1524,0.0511
ISIC_0027918,212,0,0,0.0,0,0.0,0,0.0174,0,0.1527,0.0404
ISIC_0030338,212,0,0,0.0,0,0.0,0,0.0865,0,0.103,-0.0081
ISIC_0032040,212,0,0,0.1207,0,0.0,1,0.0954,1,0.4132,0.1945
ISIC_0031483,212,0,0,0.0,0,0.0,1,0.0102,1,0.2877,0.0711
ISIC_0027226,212,0,0,0.0,0,0.0,1,0.1165,0,0.3119,-0.0474
ISIC_0026969,212,0,0,0.0,0,0.0,1,0.0482,0,0.1779,0.0178
ISIC_0030249,212,1,0,0.0,0,0.0,0,0.0207,0,0.3461,-0.0036
