isic_id,source_collection,label,peak_y,peak_x,iou_lesion,iou_vignette,iou_ruler,iou_hair,category
ISIC_0034677,212,0,116,210,0.5919,0.0,0.0,0.0999,on_lesion
ISIC_0031760,212,0,247,260,1.0,0.0,0.0,0.0,on_lesion
ISIC_0026538,212,0,210,80,0.0,0.0,0.0,0.075,on_skin
ISIC_0034250,212,0,166,152,0.8352,0.0,0.0,0.0,on_lesion
ISIC_0027893,212,0,187,266,0.0,0.0,0.0,0.182,on_skin
ISIC_0025315,212,0,209,205,0.1237,0.0,0.0,0.0506,on_skin
ISIC_0031136,212,0,202,135,1.0,0.0,0.0,0.0,on_lesion
ISIC_0027766,212,0,202,170,1.0,0.0,0.0,0.0565,on_lesion
ISIC_0033793,212,0,167,223,0.0,0.0,0.0,0.0976,on_skin
ISIC_0031260,212,0,263,272,0.7644,0.0,0.0,0.1541,on_lesion
ISIC_0026208,212,0,242,191,1.0,0.0,0.0,0.0,on_lesion
ISIC_0029629,212,0,209,239,0.1582,0.0,0.0,0.0,on_skin
ISIC_0033556,212,0,121,183,0.1083,0.0,0.0,0.2534,on_skin
ISIC_0024851,212,0,172,150,1.0,0.0,0.0,0.1273,on_lesion
ISIC_0027481,212,0,147,224,0.8834,0.0,0.0,0.0,on_lesion
ISIC_0028138,212,0,157,218,1.0,0.0,0.0,0.1083,on_lesion
ISIC_0031456,212,0,89,239,1.0,0.0,0.0,0.3236,on_lesion
ISIC_0025135,212,0,61,158,0.0,0.0,0.0,0.0,on_skin
ISIC_0033088,212,0,227,235,1.0,0.0,0.0,0.3885,on_lesion
ISIC_0026205,212,0,145,192,1.0,0.0,0.0,0.1398,on_lesion
ISIC_0025070,212,0,156,193,1.0,0.0,0.0,0.0678,on_lesion
ISIC_0027310,212,0,165,225,1.0,0.0,0.0,0.2243,on_lesion
ISIC_0029752,212,0,182,185,1.0,0.0,0.0,0.4176,on_lesion
ISIC_0025883,212,0,166,155,0.5645,0.0,0.0,0.238,on_lesion
ISIC_0031422,212,0,221,84,0.8554,0.0,0.0,0.4051,on_lesion
ISIC_0032304,212,0,171,160,0.0,0.0,0.0,0.3385,on_hair
ISIC_0028986,212,0,214,206,0.7841,0.0,0.0,0.0,on_lesion
ISIC_0031327,212,0,256,272,1.0,0.0,0.0,0.0982,on_lesion
ISIC_0035508,212,0,167,133,1.0,0.0,0.0,0.0904,on_lesion
ISIC_0027637,212,0,213,157,1.0,0.0,0.0,0.0,on_lesion
ISIC_0032210,212,0,240,130,1.0,0.0,0.0,0.0869,on_lesion
ISIC_0030790,212,0,265,214,0.8108,0.0,0.0,0.1184,on_lesion
ISIC_0032089,212,0,228,77,1.0,0.0,0.0,0.1582,on_lesion
ISIC_0033214,212,0,198,194,1.0,0.0,0.0,0.0,on_lesion
ISIC_0026155,212,0,180,196,0.0,0.0,0.0,0.1642,on_skin
ISIC_0026824,212,0,232,191,1.0,0.0,0.0,0.3427,on_lesion
ISIC_0025142,212,0,203,208,1.0,0.0,0.0,0.1904,on_lesion
ISIC_0030411,212,0,209,225,1.0,0.0,0.0,0.4967,on_lesion
ISIC_0032753,212,0,79,275,0.0,0.0,0.0,0.0916,on_skin
ISIC_0035488,212,0,284,187,1.0,0.0,0.0,0.0,on_lesion
ISIC_0029733,212,0,216,118,0.1089,0.0,0.0,0.0,on_skin
ISIC_0026785,212,0,255,172,0.0,0.0,0.0,0.0,on_skin
ISIC_0029229,212,0,287,138,1.0,0.0,0.0,0.0363,on_lesion
ISIC_0029355,212,0,200,191,0.0,0.0,0.0,0.3254,on_hair
ISIC_0027918,212,0,184,168,1.0,0.0,0.0,0.0,on_lesion
ISIC_0030338,212,0,132,287,0.6127,0.0,0.0,0.0,on_lesion
ISIC_0032040,212,0,202,348,0.0,0.0,0.0,0.1154,on_skin
ISIC_0031483,212,0,196,155,0.8084,0.0,0.0,0.0012,on_lesion
ISIC_0027226,212,0,204,207,1.0,0.0,0.0,0.2272,on_lesion
ISIC_0026969,212,0,182,257,1.0,0.0,0.0,0.113,on_lesion
ISIC_0030249,212,1,100,87,0.1041,0.0,0.0,0.0,on_skin
ISIC_0028994,212,1,233,220,0.6104,0.0,0.0,0.6454,on_lesion
ISIC_0031041,212,1,281,177,0.1654,0.0,0.0,0.0631,on_skin
ISIC_0035767,212,1,192,179,1.0,0.0,0.0,0.1749,on_lesion
ISIC_0035376,212,1,164,78,0.0,0.0,0.0,0.0988,on_skin
ISIC_0028542,212,1,182,215,0.4836,0.0,0.0,0.1672,on_skin
ISIC_0033366,212,1,116,292,0.0,0.0,0.0,0.1434,on_skin
ISIC_0024595,212,1,332,171,0.0,0.0,0.0,0.1106,on_skin
ISIC_0032441,212,1,181,223,0.0,0.0,0.0,0.1707,on_skin
ISIC_0034605,212,1,324,235,0.0,0.0,0.0,0.0226,on_skin
ISIC_0034888,212,1,246,122,0.0,0.0,0.0,0.1196,on_skin
ISIC_0035663,212,1,148,217,1.0,0.0,0.0,0.1969,on_lesion
ISIC_0025301,212,1,186,171,1.0,0.0,0.0,0.1095,on_lesion
ISIC_0032313,212,1,194,222,1.0,0.0,0.0,0.2409,on_lesion
ISIC_0032841,212,1,262,208,1.0,0.0,0.0,0.0,on_lesion
ISIC_0034906,212,1,254,152,1.0,0.0,0.0,0.213,on_lesion
ISIC_0035756,212,1,236,319,0.9917,0.0,0.0,0.1517,on_lesion
ISIC_0035708,212,1,204,171,0.0,0.0,0.0,0.1576,on_skin
ISIC_0033619,212,1,144,204,1.0,0.0,0.0,0.0137,on_lesion
ISIC_0026522,212,1,250,343,0.0,0.0,0.0,0.2826,on_skin
ISIC_0027359,212,1,265,182,1.0,0.0,0.0,0.0,on_lesion
