isic_id,source_collection,label,vignette_present,ruler_present,hair_present,color_cast_present,p_malig__original,p_malig__no_vignette,p_malig__no_ruler,p_malig__no_hair,p_malig__no_colorcast,p_malig__all_removed
ISIC_0034677,212,0,0,0,1,0,0.181145,0.181145,0.181145,0.29466,0.878311,0.640175
ISIC_0031760,212,0,0,0,0,1,0.479174,0.479174,0.479174,0.479174,0.770739,0.770739
ISIC_0026538,212,0,0,0,1,1,0.82939,0.82939,0.82939,0.809161,0.926999,0.774838
ISIC_0034250,212,0,0,0,0,1,0.585853,0.585853,0.585853,0.585853,0.622517,0.622517
ISIC_0027893,212,0,0,0,1,1,0.807885,0.807885,0.807885,0.782429,0.888307,0.736979
ISIC_0025315,212,0,0,0,1,0,0.163176,0.163176,0.163176,0.101984,0.929326,0.306784
ISIC_0031136,212,0,0,0,0,1,0.073817,0.073817,0.073817,0.073817,0.793225,0.793225
ISIC_0027766,212,0,0,0,1,0,0.700594,0.700594,0.700594,0.257988,0.885226,0.560129
ISIC_0033793,212,0,0,0,1,1,0.772971,0.772971,0.772971,0.74487,0.810084,0.784884
ISIC_0031260,212,0,0,1,1,0,0.049489,0.049489,0.046547,0.105813,0.805933,0.750202
ISIC_0026208,212,0,0,0,0,1,0.023548,0.023548,0.023548,0.023548,0.659968,0.659968
ISIC_0029629,212,0,0,0,0,0,0.054648,0.054648,0.054648,0.054648,0.503122,0.503122
ISIC_0033556,212,0,0,0,1,1,0.854711,0.854711,0.854711,0.574264,0.834451,0.711871
ISIC_0024851,212,0,0,0,1,0,0.875015,0.875015,0.875015,0.564641,0.889151,0.621875
ISIC_0027481,212,0,0,0,0,1,0.060882,0.060882,0.060882,0.060882,0.296264,0.296264
ISIC_0028138,212,0,0,1,1,0,0.048406,0.048406,0.050815,0.144414,0.718664,0.722834
ISIC_0031456,212,0,0,1,1,0,0.021459,0.021459,0.027227,0.111869,0.593971,0.386678
ISIC_0025135,212,0,0,0,0,1,0.032379,0.032379,0.032379,0.032379,0.705797,0.705797
ISIC_0033088,212,0,0,0,1,1,0.800036,0.800036,0.800036,0.892879,0.789817,0.857416
